user_tweet_id	user	user_id	tweet_id	text	hashtags	tweet_date	user_start	followers_count	friends	total_tweets	location	timezone	sarcasm	sarcastic	irony	ironic	happy	sad	seriously	num_ht
65682624_860329708705198081	bigjoo81	65682624	860329708705198081	Wife and I passed out on couch together by 10pm. Both dogs comfy in bed.  This is what married life is at its finest 	['happy']	Fri May 05 03:06:01 +0000 2017	Fri Aug 14 17:10:33 +0000 2009	401	921	15824	Washington, DC	Eastern Time (US & Canada)	0	0	0	0	1	0	0	1
48271192_526590952044244992	ezgoo	48271192	526590952044244992		['happy']	Mon Oct 27 04:27:21 +0000 2014	Thu Jun 18 06:38:44 +0000 2009	327	134	17722	So-Cal	Pacific Time (US & Canada)	0	0	0	0	1	0	0	1
838755068_385456966111203328	JBischer	838755068	385456966111203328	Job interview! 	['Happy']	Wed Oct 02 17:31:16 +0000 2013	Fri Sep 21 23:47:46 +0000 2012	311	276	3232		Eastern Time (US & Canada)	0	0	0	0	1	0	0	1
838755068_350350234955694081	JBischer	838755068	350350234955694081	iPhone all set up! 	['happy']	Thu Jun 27 20:29:39 +0000 2013	Fri Sep 21 23:47:46 +0000 2012	311	276	3232		Eastern Time (US & Canada)	0	0	0	0	1	0	0	1
577317764_755863751069315072	vinotintojoe	577317764	755863751069315072	@spoonandstable had these last night...after stopping in for dessert...followed by a special birthday dessert... 	['happy']	Wed Jul 20 20:35:36 +0000 2016	Fri May 11 17:30:17 +0000 2012	18	71	194			0	0	0	0	1	0	0	1
20114784_298561967495446529	kirstynewton	20114784	298561967495446529	Just premiered new slightly wrong song at Rich Hall's Hoedown. Woo! Nobody booed me off and I didn't forget ALL the lyrics. 	['happy']	Mon Feb 04 22:41:34 +0000 2013	Thu Feb 05 02:20:19 +0000 2009	2251	1346	4784	London	London	0	0	0	0	1	0	0	1
362321427_228959475606892544	katelilyn	362321427	228959475606892544	@Caltonfan what else could they play. Come on you Hammers! 	['happy']	Fri Jul 27 21:06:07 +0000 2012	Fri Aug 26 06:10:13 +0000 2011	48	249	1518	Glasgow. How?		0	0	0	0	1	0	0	1
263917111_179308192319275011	EmShep91	263917111	179308192319275011	Ice cream and wine :) 	['happy']	Mon Mar 12 20:49:39 +0000 2012	Fri Mar 11 00:20:07 +0000 2011	179	465	1224			0	0	0	0	1	0	0	1
164397056_79920689632645120	MouseTowel	164397056	79920689632645120	holy shit, you were right. 	['happy']	Sun Jun 12 14:39:11 +0000 2011	Thu Jul 08 19:45:00 +0000 2010	126	312	392	Asheville, NC	Eastern Time (US & Canada)	0	0	0	0	1	0	0	1
252329204_249356154545786880	cmarie1064	252329204	249356154545786880	Home, home, home!!!! A freaking men!! 	['happy']	Sat Sep 22 03:55:14 +0000 2012	Mon Feb 14 23:54:18 +0000 2011	226	233	1882	Lubbock, TX	Eastern Time (US & Canada)	0	0	0	0	1	0	0	1
33713361_156556072679768066	Abraham_Hammer	33713361	156556072679768066	need something good in your life? eat frozen grapes. 	['happy']	Tue Jan 10 02:00:51 +0000 2012	Mon Apr 20 23:27:23 +0000 2009	154	140	3040	Miami, FL	Central Time (US & Canada)	0	0	0	0	1	0	0	1
61223915_446781840096235521	bkm29	61223915	446781840096235521	Lots o outlets, fresh baked cookies, nice front desk employees & a cute rubber duck - thanks Vestal NY @Hampton  4 great service! 	['Happy']	Thu Mar 20 22:54:26 +0000 2014	Wed Jul 29 15:43:21 +0000 2009	413	1029	2052	Liverpool, NY 	Quito	0	0	0	0	1	0	0	1
