ID,sample,int_date,lang,version,form,llitext1,q1,eminuse,intmob,intfreq,device1a,smart1,snsint2,acct1a,acct1b,acct1c,acct1d,acct2,acct3a,acct3b,acct3c,acct3d,acct3e,acct3f,acct3g,secur1,secur2a,secur2b,secur2c,secur2d,secur2e,secur2f,secur2g,habits1a,habits1b,habits1c,habits1d,habits1e,habits1f,habits2,habits3,habits4a,habits4b,habits4c,habits5,habits6,habits7,habits8,habits9,habits10,habits11,habits12,wifi1,wifi2a,wifi2b,wifi2c,wifi2d,policy1,policy2a,policy2b,policy3,policy4,policy5,policy6a,policy6b,policy6c,policy6d,policy6e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,marital,par,emplnw3,party,partyln,ideo,inc,hh1,hh3,ql1a,qc1,habits1fos,habits9os,raceos,usr,cregion,state,density,race3m1orig,race3m2orig,race3m3orig,race3m4orig,origraceos,i_usernw2,SmartPhone,racecmb,racethn,racethn2,racethn3,hhcell,genage2016,child,partysum,partyideo,habits1cnt,iphoneuse,hphoneuse,recage,receduc,adults,ll,cp,weight,standwt
100001,1,33016,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,3, ,2,2,2,2,2,1,1,1, ,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1, ,1,1,3,2,2,1,2,2, ,1,2,1,1,2,2,3,2,2,1,3,1,1,68,8,2,1, , , , ,1,2,1,3,2,3,99,2,2, , , , , ,S,3,51,3,1, , , , ,1,1,1,1,1,1,1,4,0,2,3,2,2,2,6,3,2,1,1,1.264705882,0.441622834
100010,1,42016,1,1,1,2,2,1,1,1,1,1,1,8,9,9,9,1,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,1,2,2,2,2, ,9,2,1,9,2,9,1,1,9,3,2,1,1,9,9,1,1,1,2,3,4,4,4,3,3,2,2,2,1,48,4,2,1, , , , ,1,1,1,5,8,1,7,5,3, , , , , ,S,2,39,1,1, , , , ,1,1,1,1,1,1,1,2,2,9,9,1,2,2,4,2,3,1,1,3.205882353,1.119462532
100011,1,33016,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,1,1,2,2,2,2, ,2,2,1,2, , , , ,1,1,2,1,1,2,3,1,1,1,1,2,72,6,2,2, , , , ,1,2,2,2, ,2,6,2,2, , , , , ,U,3,24,4,2, , , , ,1,1,2,2,2,2,1,5,0,2,4,1,2,2,6,3,2,1,1,1.352941176,0.472433729
100013,1,33016,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2, , , , ,2,3,3,1,1,1,1,3,1,3,2,2,72,6,2,1, , , , ,1,2,3,1, ,2,8,2,2, , , , , ,S,1,42,4,1, , , , ,1,1,1,1,1,1,1,5,0,1,1,2,2,2,6,3,2,1,1,1.411764706,0.492974326
100015,1,33016,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,3, ,2,2,2,2,2,2,1,1, ,2,2,1,2,2,2,2,2, ,2,1,2,2,2,1, , , , , , ,2, , , , ,1,3,2,2,2,2,2,3,1,3,1,1,37,6,2,1, , , , ,1,1,1,3,1,3,8,6,2, , , , , ,S,2,26,2,1, , , , ,1,2,1,1,1,1,1,2,4,1,3,1,2,2,3,3,2,1,1,1.852941176,0.647028803
100019,1,41116,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,3,2,1,1,2,2,1,1,1,2,2,2,1,3,2,3,1,3,1,1,48,6,2,1, , , , ,1,1,1,1, ,3,7,4,2, , , , , ,S,3,21,2,1, , , , ,1,1,1,1,1,1,1,2,2,1,2,2,2,2,4,3,2,1,1,1.382352941,0.482704027
100026,1,33016,1,1,1,2,2,2,2, ,1,8, , , , , , ,4,4, , ,4,3,4,2,2,2,1, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,4,4,4,3,3,2,3,3,1,86,3,2,1, , , , ,1,2,3,3,1,1,4,2,2, , , , , ,S,2,18,3,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,2,1,1,3.794117647,1.324868501
100029,1,40216,1,1,1,2,2,2,2, ,1,2, , , , , , ,5,5, , ,2,2,2,1,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,2,2,3,3,3,2,3,2,86,2,2,1, , , , ,1,2,3,3,2,2,3,2,2, , , , , ,R,2,27,1,1, , , , ,0,2,1,1,1,1,1,6,0,2,3, ,2,2,6,1,2,1,1,2.5,0.872975369
100031,1,41116,1,1,2,1,2,1,2,2,1,8,2,2,2,2,2,1,3,3,3, ,2,2,3,3,2,2,2,1, ,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , , , ,2, , , , ,2,3,3,2,2,2,2,2,2,2,2,2,65,8,2,2, , , , ,3,2,3,2, ,2,7,1, , , , , , ,R,3,45,1,2, , , , ,1,2,2,2,2,2,1,4,0,2,4,2,2,2,6,3,1,1,1,1,0.349190147
100035,1,33016,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,3, ,2,3,3,1,1,1,2,2, ,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1, ,1,4,3,2,1,2, , , , ,1,1,1,3,4,2,3,3,1,2,3,2,74,4,2,1, , , , ,1,2,3,2, ,3,8,2,2, , ,GIVING IT TO SOMEONE I TRUST, , ,S,3,12,2,1, , , , ,1,1,1,1,1,1,1,5,0,2,4,2,2,2,6,2,2,1,1,1.617647059,0.564866415
100036,1,33016,1,1,1,2,2,1,2,3,1,2,2,2,2,2,2,1,4,4,4, ,4,3,4,2,2,2,1,2, ,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2, , , , , , ,2, , , , ,2,1,1,3,3,4,3,1,1,1,1,1,86,8,2,1, , , , ,5,2,3,4,9,3,98,1, , , , , , ,S,3,12,3,1, , , , ,1,2,1,1,1,1,1,6,0,9,9,2,2,2,6,3,1,1,1,1,0.349190147
100042,1,33016,1,1,2,2,1,2,2, ,2, , , , , , , , , , , ,1,1,1,3,2,1,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3,2,1,2,3,3,3,2,3,2,88,8,2,1, , , , ,5,2,8,2, ,2,4,1, , , , , , ,U,3,51,4,1, , , , ,0,3,1,1,1,1,0,6,0,2,4, ,1,1,6,3,1,1,0,2.235294118,0.780542683
100048,1,33016,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,3,5,4,3,2,2,9, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,8,1,2,2,3,2,3,3,3,3,1,87,3,2,2, , , , ,5,2,9,2, ,4,3,2,2,1, , , , ,U,1,36,5,2, , , , ,0,3,2,2,2,2,1,6,0,2,5, ,1,2,6,1,2,1,0,5.911764706,2.064329989
100053,1,33016,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2, ,3,3,3,3,2,1,1,1, ,1,2,1,1,2,1,2,2,4,2,2,1,2,1,1, ,1,4,3,2,1,1,2,2, ,2,2,1,1,4,2,3,1,1,1,3,2,1,66,8,2,1, , , , ,5,2,1,2, ,3,9,1, , , , , , ,S,3,51,5,1, , , , ,1,1,1,1,1,1,1,4,0,2,4,3,2,2,6,3,1,1,1,1.088235294,0.380001043
100054,1,40216,2,1,2,2,2,2,2, ,2, , , , , , , , , , , ,5,1,3,1,2,2,2, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,9,8,3,1,2,4,3,3,3,3,3,2,75,3,1,7, , , ,3,1,2,3,2, ,8,2,2,2,2, , , , ,R,3,48,1,7, , , , ,0,3,5,3,4,3,0,5,0,2,9, ,1,1,6,1,2,1,0,5.911764706,2.064329989
100056,1,50216,1,1,1,1,1,2,2, ,1,2, , , , , , ,1,1, , ,1,1,1,2,2,1,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,3,3,3,2,3,3,2,62,1,1,2, , , ,1,6,2,3,1, ,5,1,1, , , , , , ,R,3,45,1,2, , , , ,0,2,2,3,3,3,1,4,0,1,2, ,2,2,5,1,1,1,1,1.588235294,0.554596117
100058,1,40916,1,1,2,2,1,2,2, ,1,1, , , , , , ,2,1, , ,2,2,2,1,2,2,2, , ,2,2, , , , , , , , , , , , , , ,2, ,4,2,2, , , , , ,1,3,3,2,2,2,3,3,2,3,3,2,55,4,2,2, , , , ,1,2,8,2, ,2,3,2,2, , , , , ,U,3,47,4,2, , , , ,0,1,2,2,2,2,1,3,0,2,4, ,2,2,5,2,2,1,1,2.470588235,0.86270507
100061,1,40916,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,1,2,2,2,2,1,1,1,4,3,1,1,1,2,2,1,1,1,2,4,2,2,2,1,3,1,3,3,2,25,5,1,2, , , ,3,6,2,2,3,2,3,6,7,4, , , , , ,S,3,13,4,2,7, , , ,1,1,2,3,4,3,1,1,3,2,3,1,2,2,2,2,3,1,1,5.382352941,1.879464617
100062,1,40216,1,1,2,2,1,1,1,5,1,2,2,2,2,2,2,1,2,1,2, ,2,1,3,2,2,2,2,2, ,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2, , , , , , ,2, , , , ,3,2,2,3,2,2,2,2,1,3,2,2,70,3,2,1, , , , ,5,2,3,1, ,2,3,1, , , , , , ,S,3,37,2,1, , , , ,1,2,1,1,1,1,1,4,0,1,1,2,2,2,6,1,1,1,1,1.823529412,0.636758504
100064,1,33016,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2, ,2,1,1,2,2,1,2,2, ,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2, ,1,1,3,1,2,2, , , , ,1,2,3,2,3,2,2,1,2,2,1,1,70,8,2,1, , , , ,1,2,2,2, ,5,8,2,2, , , , , ,S,1,42,4,1, , , , ,1,1,1,1,1,1,1,4,0,2,5,2,2,2,6,3,2,1,1,1.647058824,0.575136713
100069,1,33016,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,3,4,4,2,4,4,4,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2, , , , , ,2, , , , ,1,1,1,2,2,2,2,3,1,3,3,2,62,8,2,1, , , , ,3,2,3,3,8,3,4,1, , , , , , ,S,1,42,4,1, , , , ,1,2,1,1,1,1,1,4,0,9,3,2,2,2,5,3,1,1,1,1.058823529,0.369730744
100071,1,40216,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,1,2,1,4,2,2,2,2, , , , ,2,3,2,1,1,1,1,2,1,2,2,2,70,4,2,1, , , , ,1,2,2,2, ,3,7,2,2, , , , , ,R,2,27,1,1, , , , ,1,1,1,1,1,1,1,4,0,2,4,1,2,2,6,2,2,1,1,1.617647059,0.564866415
100074,1,33016,1,1,2,2,2,1,2,4,1,2,2,2,2,2,2,1,3,3,3, ,4,1,2,2,2,2,1,2, ,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , , , ,2, , , , ,1,1,1,4,4,4,3,3,1,3,2,2,78,4,2,1, , , , ,5,2,3,8,1,2,5,1, , , , , , ,R,1,36,1,1, , , , ,1,2,1,1,1,1,1,5,0,1,9,2,2,2,6,2,1,1,1,1.323529412,0.46216343
100076,1,33016,1,1,2,1,2,1,1,5,1,2,2,1,1,1,1,1,3,2,2, ,2,1,2,3,2,2,2,2, ,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,2, , , , ,2,2,2,2,2,2,3,3,2,3,3,1,78,8,2,1, , , , ,1,2,8,2, ,4,8,2,2, , , , , ,S,3,45,2,1, , , , ,1,2,1,1,1,1,1,5,0,2,5,2,2,2,6,3,2,1,1,1.147058824,0.40054164
100080,1,40216,1,1,1,1,1,2,2, ,1,8, , , , , , ,1,1, , ,1,3,2,2,2,2,2, , ,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,2,3,4,2,2,4,2,2,1,3,2,2,68,1,2,2, , , , ,5,2,3,3,8,1,98,3,1, , , , , ,R,3,45,1,2, , , , ,0,2,2,2,2,2,1,4,2,9,3, ,2,2,6,1,1,1,1,2.088235294,0.72919119
100081,1,33016,1,1,1,1,1,2,1,5,2, ,2,2,2,2,2,2, , ,5, ,1,2,2,3,2,2,2,2, ,2,2,2,2,2,2,2,2, ,9,2,2,2,2,2, , , , , , ,2, , , , ,2,2,2,2,2,2,3,3,2,3,3,2,75,6,2,2, , , , ,1,2,3,2, ,3,5,2,2,1, , , , ,R,3,48,1,2, , , , ,1,3,2,2,2,2,1,5,0,2,4,0,1,2,6,3,2,1,0,2.558823529,0.893515966
100082,1,33016,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,4,4,4, ,4,3,4,2,2,1,1,2, ,1,2,1,2,2,2,2,2, ,2,1,2,2,2,2, , , , , , ,2, , , , ,1,2,3,2,3,2,2,1,1,3,1,1,44,6,2,1, , , , ,1,1,1,3,2,3,8,3,2, , , , , ,U,2,55,3,1, , , , ,1,2,1,1,1,1,1,2,1,2,3,1,2,2,3,3,2,1,1,2.029411765,0.708650593
100089,1,41116,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,4,2,3,1,2,1,2,2,2,2,2,1,2,1,1,2,9,4,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,4,2,3,2,1,3,1,2,61,8,2,1, , , , ,1,2,1,3,8,3,99,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,3,0,9,3,3,2,2,5,3,2,1,1,1.441176471,0.503244624
100090,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,2,2,2,2,3,2,3,3,3,2,2,1,2,2,2,2,1,1,1,2,2,2,3,9,1,1,1,1,1,1,1,9,3,2,2,1,2,2,8,1,2,2,2,2,2,3,8,3,1,3,2,2,39,8,2,1, , , , ,1,1,2,2, ,4,9,4,2, , , , , ,S,1,42,2,1, , , , ,1,1,1,1,1,1,1,2,2,2,5,3,2,2,3,3,2,1,1,2.588235294,0.903786264
100091,1,50216,1,1,1,2,2,2,2, ,1,2, , , , , , ,4,4, , ,4,2,2,2,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,3,8,3,3,2,3,3,1,54,3,2,1, , , , ,1,2,3,2, ,3,7,3,3, , , , , ,S,1,42,2,1, , , , ,0,2,1,1,1,1,1,3,0,2,4, ,2,2,4,1,3,1,1,4.147058824,1.448112082
100092,1,33016,1,1,1,2,3,1,1,4,1,1,1,2,2,2,2,1,4,4,4,4,4,5,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,5,1,3,1,2, , , , ,2,1,8,3,4,2,1,2,2,3,3,2,40,3,2,1, , , , ,1,1,3,4,9,8,5,4,2, , , ,TAP LOCK, ,S,4,49,1,1, , , , ,1,1,1,1,1,1,1,2,2,9,9,2,2,2,3,1,2,1,1,3.735294118,1.304327904
100094,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2, ,4,3,2,1,2,2,2,1,2,2,3,2,2,2,2,3,1,3,2,1,73,8,2,1, , , , ,1,2,2,2, ,4,9,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,5,0,2,5,3,2,2,6,3,2,1,1,1.617647059,0.564866415
100096,1,33016,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,4,4,4,2,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,8,2,2,4,3,2,3,3,1,3,3,2,63,98,2,1, , , , ,3,2,3,4,8,4,1,1, , , , , , ,S,3,1,2,1, , , , ,0,3,1,1,1,1,0,4,0,9,9, ,1,1,5,9,1,1,0,1.941176471,0.677839698
100102,1,33016,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,3,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,2,2,1,2,2,2,1,1,2,3,8,8,2,3,2,2,3,3,2,56,3,2,1, , , , ,1,2,1,2, ,3,7,2,2, , , , , ,S,1,36,4,1, , , , ,1,1,1,1,1,1,1,3,0,2,4,2,2,2,5,1,2,1,1,3.647058824,1.273517008
100106,1,33016,1,1,2,1,2,1,2,5,1,1,2,2,2,2,2,1,4,4,4, ,4,4,4,2,2,2,1,2, ,2,2,1,2,2,2,2,2, ,2,1,1,2,2,1, ,1,9,3,2,1,2, , , , ,1,2,2,4,4,2,2,3,1,3,1,2,50,5,2,1, , , , ,1,2,1,3,9,2,6,5,5, , , , , ,R,2,29,1,1, , , , ,1,1,1,1,1,1,1,2,0,9,3,1,2,2,4,2,3,1,1,3.352941176,1.170814024
100112,1,33016,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,4,1,4,4,4,4,4,2,2,1,2,2,2,1,2,2,1,2,2,2,2, ,1,2,2,2,1,1,2,1,4,5,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,3,1,2,60,7,2,1, , , , ,1,2,1,2, ,3,8,2,2, , , , , ,U,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,0,2,4,1,2,2,5,3,2,1,1,1,0.349190147
100113,1,33016,1,1,2,1,1,1,2,3,1,2,1,1,1,2,1,1,1,1,1,5,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2, ,1,2,2,2,8,2,2, , , , , ,2, , , , ,2,2,2,2,2,2,3,3,1,3,3,1,81,8,2,1, , , , ,1,2,9,3,2,3,7,2,2, , , , , ,U,4,2,2,1, , , , ,1,2,1,1,1,1,1,6,0,2,3,1,2,2,6,3,2,1,1,1.117647059,0.390271341
100114,1,33016,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2, ,3,1,1,2,2,2,2,2, ,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1, ,1,3,3,2,2,1,2,1, ,2,1,3,3,2,2,2,1,3,1,8,3,1,52,3,2,1, , , , ,1,1,1,1, ,2,8,4,2, , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,2,1,1,2,2,2,4,1,2,1,1,2.705882353,0.944867458
100129,1,40916,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,4,5,5,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2, ,1,1,2,1,2,2,2,2,8,1,2,4,2,2,3,3,2,3,3,2,76,4,2,1, , , , ,5,2,3,1, ,2,99,1, , , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,5,0,1,1,1,2,2,6,2,1,1,1,1.058823529,0.369730744
100130,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,4,3,4,4,2,3,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,4,3,2,1,2, , , , ,2,1,2,3,3,2,1,1,1,3,3,1,60,6,2,1, , , , ,1,2,1,3,1,2,6,4,2, , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,2,1,3,2,2,2,5,3,2,1,1,1,0.349190147
100131,1,33016,1,1,1,2,9,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,9,5,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2, , , , , ,2, , , , ,8,2,1,4,4,4,3,3,1,3,3,2,28,4,9,1, , , , ,9,9,9,9,9,1,98,3,99, , , , , ,S,2,26,1,1, , , , ,1,2,1,1,1,1,1,1,99,9,9,1,2,2,2,2,2,1,1,3.970588235,1.386490291
100156,1,33016,1,1,1,2,2,1,1,3,1,1,1,2,2,2,2,1,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,3,2,2,2, , , , ,2,2,2,3,3,2,2,3,1,3,2,1,52,4,2,1, , , , ,3,2,1,3,1,3,8,1, , , , , , ,S,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,0,1,3,1,2,2,4,2,1,1,1,1.852941176,0.647028803
100158,1,33016,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2, ,4,2,4,2,2,1,1,2, ,1,2,1,2,2,1,1,2,8,2,1,2,2,1,1, ,2, ,5,1,1,2, , , , ,1,2,1,3,2,2,1,1,1,2,1,1,63,3,2,1, , , , ,3,2,1,3,9,9,9,2,2, , , , , ,U,4,6,1,1, , , , ,1,1,1,1,1,1,1,4,0,9,3,3,2,2,5,1,2,1,1,2.5,0.872975369
100159,1,33016,1,1,2,1,2,2,1,1,1,1,1,2,8,8,2,1,1,1,2,2,8,5,3,8,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,3,2,2,2, , , , ,8,3,3,8,8,8,3,3,3,3,3,1,19,3,2,3, , , , ,6,2,3,3,1,3,5,5,3, , , , , ,U,4,6,5,3, , , , ,1,1,3,4,5,4,1,1,2,1,3,3,2,2,1,1,3,1,1,5.911764706,2.064329989
100165,1,40216,1,1,2,1,2,2,2, ,2, , , , , , , , , , , ,2,1,2,2,2,2,2, , ,8,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,1,2,3,2,3,3,3,2,75,8,2,1, , , , ,6,2,3,2, ,3,2,1, , , , , , ,U,1,36,5,1, , , , ,0,3,1,1,1,1,0,5,0,2,4, ,1,1,6,3,1,1,0,3.058823529,1.068111039
100167,1,50216,1,1,2,2,1,1,1,4,1,2,2,2,2,2,2,1,2,2,2, ,2,2,2,3,2,2,1,2, ,2,2,2,1,2,2,2,2, ,2,2,2,2,2,1, , , , , , ,2, , , , ,2,3,2,2,2,2,2,2,2,3,3,1,73,5,2,1, , , , ,6,2,3,3,1,2,4,1, , , , , , ,S,1,36,2,1, , , , ,1,2,1,1,1,1,1,5,0,1,3,1,2,2,6,2,1,1,1,2.088235294,0.72919119
100172,1,40216,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,5,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2,2,2,2,1,1,2,1,4,3,3,2,2, , , , ,1,3,3,2,1,2,3,3,2,3,3,1,22,4,2,3, , , , ,6,2,3,3,1,2,5,2,2, , , , , ,R,3,13,1,3, , , , ,1,1,3,4,5,4,1,1,0,1,3,1,2,2,1,2,2,1,1,3.823529412,1.335138799
100178,1,40216,1,1,1,2,2,2,2, ,1,8, , , , , , ,2,2, , ,3,4,3,3,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,3,4,3,3,3,3,3,2,80,3,2,1, , , , ,2,2,3,3,1,3,4,2,2, , , , , ,S,1,34,5,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,2,1,1,4,1.39676059
100181,1,40916,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,4,4,4,3,2,2,1, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,3,4,4,3,3,3,3,3,1,92,8,2,8, , , , ,6,2,3,4,8,8,99,1, , , , , , ,U,2,39,3,8, , , , ,0,3,9,9,9,9,0,6,0,9,9, ,1,1,6,3,1,1,0,2.588235294,0.903786264
100183,1,40216,1,1,2,1,2,1,2,2,1,2,2,8,2,2,2,1,1,8,2, ,2,5,3,2,2,1,1,8, ,1,2,1,2,2,2,2,2, ,2,1,2,2,2,2, , , , , , ,2, , , , ,1,2,2,8,8,8,3,3,1,3,2,1,64,8,2,1, , , , ,1,2,1,3,2,3,99,2,2, , , , , ,S,1,42,4,1, , , , ,1,2,1,1,1,1,1,4,0,2,3,1,2,2,5,3,2,1,1,1.411764706,0.492974326
100196,1,40216,1,1,2,1,1,2,2, ,1,2, , , , , , ,2,2, , ,2,1,2,3,2,2,2, , ,8,2, , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,3,3,2,3,2,2,84,3,2,1, , , , ,5,2,3,3,1,2,99,1, , , , , , ,S,2,55,3,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,1,1,1,2.147058824,0.749731787
100198,1,40216,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,3,3,1,1,1,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,3,1,1,2,2,1,34,8,2,1, , , , ,1,1,1,2, ,4,9,4,2, , , , , ,U,2,55,3,1, , , , ,1,1,1,1,1,1,1,1,2,2,5,1,2,2,2,3,2,1,1,1.705882353,0.59567731
100200,1,40216,1,1,2,1,2,1,1,3,1,2,1,2,2,2,2,1,3,3,3,3,4,5,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,1,2, , , , , ,2, , , , ,1,1,1,4,4,4,3,1,1,3,3,2,59,3,2,1, , , , ,1,2,3,1, ,2,3,2,2, , , , , ,S,3,48,5,1, , , , ,1,2,1,1,1,1,1,3,0,1,1,1,2,2,5,1,2,1,1,3.352941176,1.170814024
100206,1,40216,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,3,4,3, ,3,3,4,2,2,1,1,2, ,1,2,2,2,2,1,2,2, ,2,1,1,2,1,1, ,1,2,3,2,1,1,2,2, ,1,2,2,2,4,3,3,3,1,1,1,1,1,67,8,2,1, , , , ,1,2,1,3,2,4,9,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,4,0,2,3,1,2,2,6,3,2,1,1,1.617647059,0.564866415
